"Título do Projeto, Área de Pesquisa"
"""Estudo sobre a relação entre mobilidade urbana e desenvolvimento econômico"", ""Urbanização"""
"""Análise da eficácia de programas de prevenção à violência doméstica"", ""Segurança Pública"""
"""Desenvolvimento de tecnologias para a conservação da biodiversidade"", ""Meio Ambiente"""
"""Estudo sobre o impacto da indústria cultural na formação da identidade juvenil"", ""Cultura"""
"""Análise da relação entre estresse ocupacional e saúde mental"", ""Saúde"""
"""Desenvolvimento de tecnologias para a produção sustentável de alimentos"", ""Agricultura"""
"""Estudo sobre a influência das redes sociais na formação da opinião pública"", ""Comunicação"""
"""Análise do impacto de programas de educação financeira na redução do endividamento"", ""Economia"""
"""Desenvolvimento de tecnologias para a gestão de resíduos líquidos"", ""Meio Ambiente"""
"""Estudo sobre a relação entre desigualdade social e acesso à justiça"", ""Sociologia"""
"""Análise da eficácia de programas de prevenção ao tabagismo"", ""Saúde Pública"""
"""Desenvolvimento de tecnologias para a produção agroecológica"", ""Agricultura"""
"""Estudo sobre o impacto da migração na economia local"", ""Demografia"""
"""Análise da relação entre poluição luminosa e qualidade de vida"", ""Urbanização"""
"""Desenvolvimento de tecnologias para o transporte coletivo não poluente"", ""Transporte"""
"""Estudo sobre a eficácia de programas de incentivo ao empreendedorismo"", ""Economia"""
"""Análise da relação entre poluição da água e doenças gastrointestinais"", ""Saúde"""
"""Desenvolvimento de tecnologias para a gestão de bacias hidrográficas"", ""Recursos Hídricos"""
"""Estudo sobre o impacto do turismo rural na economia local"", ""Economia"""
"""Análise da influência da tecnologia na aprendizagem"", ""Educação"""
"""Estudo sobre a relação entre planejamento urbano e qualidade de vida"", ""Urbanização"""
"""Análise da eficácia de programas de prevenção ao bullying escolar"", ""Educação"""
"""Desenvolvimento de tecnologias para a recuperação de áreas degradadas"", ""Meio Ambiente"""
"""Estudo sobre o impacto da globalização na diversidade cultural"", ""Cultura"""
"""Análise da relação entre sedentarismo e doenças crônicas"", ""Saúde"""
"""Desenvolvimento de tecnologias para a agricultura de precisão"", ""Agricultura"""
"""Estudo sobre a influência da publicidade na formação do consumo infantil"", ""Comunicação"""
"""Análise do impacto de programas de microcrédito na redução da pobreza"", ""Economia"""
"""Desenvolvimento de tecnologias para a gestão integrada de resíduos"", ""Meio Ambiente"""
"""Estudo sobre a relação entre desigualdade social e acesso à saúde"", ""Sociologia"""
"""Análise da eficácia de programas de prevenção ao alcoolismo"", ""Saúde Pública"""
"""Desenvolvimento de tecnologias para a produção agroflorestal"", ""Agricultura"""
"""Estudo sobre o impacto da urbanização na biodiversidade local"", ""Urbanização"""
"""Análise da relação entre poluição visual e qualidade de vida"", ""Urbanização"""
"""Desenvolvimento de tecnologias para o transporte coletivo eficiente"", ""Transporte"""
"""Desenvolvimento de tecnologias para a redução da pobreza"", ""Desenvolvimento Social"""
"""Análise da relação entre segurança alimentar e desenvolvimento sustentável"", ""Desenvolvimento Sustentável"""
"""Promoção da saúde e prevenção de doenças em comunidades carentes"", ""Saúde Pública"""
"""Educação inclusiva para crianças em situação de vulnerabilidade"", ""Educação"""
"""Promoção da igualdade de gênero e empoderamento das mulheres"", ""Igualdade de Gênero"""
"""Garantia de acesso à água potável e saneamento básico para todos"", ""Saneamento Básico"""
"""Desenvolvimento de fontes de energia renovável e acessível"", ""Energia Renovável"""
"""Inclusão de jovens no mercado de trabalho através do empreendedorismo"", ""Empreendedorismo"""
"""Desenvolvimento de tecnologias inovadoras para a indústria sustentável"", ""Indústria Sustentável"""
"""Redução das desigualdades sociais através de políticas públicas"", ""Políticas Públicas"""
"""Planejamento urbano para cidades mais sustentáveis e inclusivas"", ""Planejamento Urbano"""
"""Conscientização sobre o consumo consciente e produção responsável"", ""Consumo Consciente"""
"""Ação contra a mudança climática através do desenvolvimento de tecnologias verdes"", ""Mudança Climática"""
"""Conservação da biodiversidade marinha e costeira"", ""Conservação Marinha"""
"""Conservação da biodiversidade terrestre e florestal"", ""Conservação Terrestre"""
"""Promoção da justiça social e acesso à justiça para todos"", ""Justiça Social"""
"""Desenvolvimento de parcerias para a promoção do desenvolvimento sustentável"", ""Parcerias para o Desenvolvimento Sustentável"""
"""Desenvolvimento de programas para a inclusão social de pessoas em situação de vulnerabilidade"", ""Inclusão Social"""
"""Análise da relação entre agricultura sustentável e segurança alimentar"", ""Agricultura Sustentável"""
"""Promoção da saúde mental em comunidades carentes"", ""Saúde Mental"""
"""Educação empreendedora para jovens em situação de vulnerabilidade"", ""Educação Empreendedora"""
"""Promoção da igualdade de gênero e combate à violência contra a mulher"", ""Combate à Violência Contra a Mulher"""
"""Garantia de acesso à água potável e saneamento básico em áreas rurais"", ""Saneamento Rural"""
"""Desenvolvimento de tecnologias para a produção de energia limpa e acessível"", ""Energia Limpa"""
"""Inclusão de pessoas com deficiência no mercado de trabalho"", ""Inclusão no Mercado de Trabalho"""
"""Desenvolvimento de tecnologias inovadoras para a indústria 4.0"", ""Indústria 4.0"""
"""Redução das desigualdades regionais através de políticas públicas"", ""Desigualdades Regionais"""
"""Planejamento urbano para cidades inteligentes e sustentáveis"", ""Cidades Inteligentes"""
"""Conscientização sobre o consumo consciente e economia circular"", ""Economia Circular"""
"""Ação contra a mudança climática através do desenvolvimento de políticas públicas"", ""Políticas Climáticas"""
"""Conservação da biodiversidade marinha e desenvolvimento do turismo sustentável"", ""Turismo Sustentável"""
"""Conservação da biodiversidade terrestre e desenvolvimento do ecoturismo"", ""Ecoturismo"""
"""Promoção da justiça social e combate à corrupção"", ""Combate à Corrupção"""
"""Desenvolvimento de parcerias público-privadas para a promoção do desenvolvimento sustentável"", ""Parcerias Público-Privadas"""
"""Desenvolvimento de programas para a inclusão social de migrantes"", ""Inclusão Social"""
"""Análise da relação entre migração e segurança alimentar"", ""Segurança Alimentar"""
"""Promoção da saúde e prevenção de doenças em comunidades migrantes"", ""Saúde Pública"""
"""Educação inclusiva para crianças migrantes"", ""Educação"""
"""Promoção da igualdade de gênero e empoderamento das mulheres migrantes"", ""Igualdade de Gênero"""
"""Garantia de acesso à água potável e saneamento básico para comunidades migrantes"", ""Saneamento Básico"""
"""Desenvolvimento de fontes de energia renovável e acessível para comunidades migrantes"", ""Energia Renovável"""
"""Inclusão de migrantes no mercado de trabalho através do empreendedorismo"", ""Empreendedorismo"""
"""Desenvolvimento de tecnologias inovadoras para a indústria sustentável em áreas com alta concentração de migrantes"", ""Indústria Sustentável"""
"""Redução das desigualdades sociais entre migrantes e não-migrantes através de políticas públicas"", ""Políticas Públicas"""
"""Planejamento urbano para cidades mais inclusivas para migrantes"", ""Planejamento Urbano"""
"""Conscientização sobre o consumo consciente e produção responsável em comunidades migrantes"", ""Consumo Consciente"""
"""Ação contra a mudança climática através do desenvolvimento de tecnologias verdes em áreas com alta concentração de migrantes"", ""Mudança Climática"""
"""Conservação da biodiversidade marinha e costeira em áreas com alta concentração de migrantes"", ""Conservação Marinha"""
"""Conservação da biodiversidade terrestre e florestal em áreas com alta concentração de migrantes"", ""Conservação Terrestre"""
"""Promoção da justiça social e acesso à justiça para migrantes"", ""Justiça Social"""
"""Desenvolvimento de parcerias para a promoção do desenvolvimento sustentável em áreas com alta concentração de migrantes"", ""Parcerias para o Desenvolvimento Sustentável"""
"""Desenvolvimento de programas para a integração cultural de migrantes"", ""Integração Cultural"""
"""Análise da relação entre migração e desenvolvimento econômico local"", ""Desenvolvimento Econômico"""
"""Promoção da saúde mental em comunidades migrantes"", ""Saúde Mental"""
"""Educação empreendedora para jovens migrantes"", ""Educação Empreendedora"""
"""Promoção da igualdade de gênero e combate à violência contra a mulher migrante"", ""Combate à Violência Contra a Mulher"""
"""Garantia de acesso à moradia digna para migrantes"", ""Moradia Digna"""
"""Desenvolvimento de tecnologias para a produção de energia limpa e acessível para comunidades migrantes"", ""Energia Limpa"""
"""Inclusão de migrantes idosos no mercado de trabalho"", ""Inclusão no Mercado de Trabalho"""
"""Desenvolvimento de tecnologias inovadoras para a indústria 4.0 em áreas com alta concentração de migrantes"", ""Indústria 4.0"""
"""Redução das desigualdades regionais entre áreas com alta e baixa concentração de migrantes através de políticas públicas"", ""Desigualdades Regionais"""
"""Planejamento urbano para cidades inteligentes e inclusivas para migrantes"", ""Cidades Inteligentes"""
"""Conscientização sobre o consumo consciente e economia circular em comunidades migrantes"", ""Economia Circular"""
"""Ação contra a mudança climática através do desenvolvimento de políticas públicas em áreas com alta concentração de migrantes"", ""Políticas Climáticas"""
"""Conservação da biodiversidade marinha e desenvolvimento do turismo sustentável em áreas com alta concentração de migrantes"", ""Turismo Sustentável"""
"""Conservação da biodiversidade terrestre e desenvolvimento do ecoturismo em áreas com alta concentração de migrantes"", ""Ecoturismo"""
"""Promoção da justiça social e combate à corrupção em áreas com alta concentração de migrantes"", ""Combate à Corrupção"""
"""Desenvolvimento de parcerias público-privadas para a promoção do desenvolvimento sustentável em áreas com alta concentração de migrantes"", ""Parcerias Público-Privadas"""
"""Desenvolvimento de programas para a inclusão social de comunidades quilombolas"", ""Inclusão Social"""
"""Análise da relação entre segurança alimentar e desenvolvimento sustentável em comunidades quilombolas"", ""Desenvolvimento Sustentável"""
"""Promoção da saúde e prevenção de doenças em comunidades quilombolas"", ""Saúde Pública"""
"""Educação inclusiva para crianças quilombolas"", ""Educação"""
"""Promoção da igualdade de gênero e empoderamento das mulheres quilombolas"", ""Igualdade de Gênero"""
"""Garantia de acesso à água potável e saneamento básico para comunidades quilombolas"", ""Saneamento Básico"""
"""Desenvolvimento de fontes de energia renovável e acessível para comunidades quilombolas"", ""Energia Renovável"""
"""Inclusão de jovens quilombolas no mercado de trabalho através do empreendedorismo"", ""Empreendedorismo"""
"""Desenvolvimento de tecnologias inovadoras para a indústria sustentável em áreas quilombolas"", ""Indústria Sustentável"""
"""Redução das desigualdades sociais entre quilombolas e não-quilombolas através de políticas públicas"", ""Políticas Públicas"""
"""Planejamento urbano para cidades mais inclusivas para comunidades quilombolas"", ""Planejamento Urbano"""
"""Conscientização sobre o consumo consciente e produção responsável em comunidades quilombolas"", ""Consumo Consciente"""
"""Ação contra a mudança climática através do desenvolvimento de tecnologias verdes em áreas quilombolas"", ""Mudança Climática"""
"""Conservação da biodiversidade marinha e costeira em áreas quilombolas"", ""Conservação Marinha"""
"""Conservação da biodiversidade terrestre e florestal em áreas quilombolas"", ""Conservação Terrestre"""
"""Promoção da justiça social e acesso à justiça para comunidades quilombolas"", ""Justiça Social"""
"""Desenvolvimento de parcerias para a promoção do desenvolvimento sustentável em áreas quilombolas"", ""Parcerias para o Desenvolvimento Sustentável"""
"""Desenvolvimento de programas para a inclusão social de pessoas LGBTQIA+"", ""Inclusão Social"""
"""Análise da relação entre discriminação e saúde mental em pessoas LGBTQIA+"", ""Saúde Mental"""
"""Promoção da saúde e prevenção de doenças em comunidades LGBTQIA+"", ""Saúde Pública"""
"""Educação inclusiva para jovens LGBTQIA+"", ""Educação"""
"""Promoção da igualdade de gênero e combate à discriminação contra pessoas LGBTQIA+"", ""Igualdade de Gênero"""
"""Garantia de acesso à moradia digna para pessoas LGBTQIA+"", ""Moradia Digna"""
"""Desenvolvimento de tecnologias para a inclusão social de pessoas LGBTQIA+"", ""Inclusão Social"""
"""Inclusão de pessoas LGBTQIA+ no mercado de trabalho"", ""Inclusão no Mercado de Trabalho"""
"""Desenvolvimento de políticas públicas para a promoção dos direitos das pessoas LGBTQIA+"", ""Políticas Públicas"""
"""Redução das desigualdades sociais entre pessoas LGBTQIA+ e não-LGBTQIA+ através de políticas públicas"", ""Políticas Públicas"""
"""Planejamento urbano para cidades mais inclusivas para pessoas LGBTQIA+"", ""Planejamento Urbano"""
"""Conscientização sobre a diversidade sexual e de gênero"", ""Diversidade Sexual e de Gênero"""
"""Promoção da justiça social e combate à discriminação contra pessoas LGBTQIA+"", ""Justiça Social"""
"""Desenvolvimento de parcerias para a promoção dos direitos das pessoas LGBTQIA+"", ""Parcerias para os Direitos LGBTQIA+"""
"""Análise da relação entre violência doméstica e orientação sexual"", ""Violência Doméstica"""
"""Promoção da saúde sexual e reprodutiva em comunidades LGBTQIA+"", ""Saúde Sexual e Reprodutiva"""
"""Educação em direitos humanos para a promoção da igualdade de gênero e diversidade sexual"", ""Educação em Direitos Humanos"""
"""Garantia de acesso à justiça para pessoas LGBTQIA+ vítimas de violência"", ""Acesso à Justiça"""
"""Desenvolvimento de programas para a integração cultural de migrantes LGBTQIA+"", ""Integração Cultural"""
"""Análise da relação entre migração e discriminação contra pessoas LGBTQIA+"", ""Migração e Discriminação"""
"""Promoção da saúde mental em comunidades migrantes LGBTQIA+"", ""Saúde Mental"""
"""Educação empreendedora para jovens migrantes LGBTQIA+"", ""Educação Empreendedora"""
"""Promoção da igualdade de gênero e combate à violência contra a mulher migrante LGBTQIA+"", ""Combate à Violência Contra a Mulher"""
"""Garantia de acesso à água potável e saneamento básico para comunidades migrantes LGBTQIA+"", ""Saneamento Básico"""
"""Desenvolvimento de fontes de energia renovável e acessível para comunidades migrantes LGBTQIA+"", ""Energia Renovável"""
"""Inclusão de migrantes idosos LGBTQIA+ no mercado de trabalho"", ""Inclusão no Mercado de Trabalho"""
"""Desenvolvimento de tecnologias inovadoras para a indústria 4.0 em áreas com alta concentração de migrantes LGBTQIA+"", ""Indústria 4.0"""
"""Redução das desigualdades regionais entre áreas com alta e baixa concentração de migrantes LGBTQIA+ através de políticas públicas"", ""Desigualdades Regionais"""
"""Planejamento urbano para cidades inteligentes e inclusivas para migrantes LGBTQIA+"", ""Cidades Inteligentes"""
"""Desenvolvimento de programas para a promoção dos direitos das crianças"", ""Direitos das Crianças"""
"""Análise da relação entre nutrição e desenvolvimento infantil"", ""Nutrição Infantil"""
"""Promoção da saúde e prevenção de doenças em crianças"", ""Saúde Infantil"""
"""Educação inclusiva para crianças em situação de vulnerabilidade"", ""Educação Infantil"""
"""Promoção da igualdade de gênero e combate à discriminação contra crianças"", ""Igualdade de Gênero"""
"""Garantia de acesso à educação de qualidade para todas as crianças"", ""Educação de Qualidade"""
"""Desenvolvimento de programas para a prevenção do trabalho infantil"", ""Prevenção do Trabalho Infantil"""
"""Inclusão de crianças com deficiência na escola e na sociedade"", ""Inclusão de Crianças com Deficiência"""
"""Desenvolvimento de políticas públicas para a promoção dos direitos das crianças"", ""Políticas Públicas"""
"""Redução das desigualdades sociais entre crianças através de políticas públicas"", ""Políticas Públicas"""
"""Desenvolvimento de programas para a promoção da qualidade de vida dos idosos"", ""Qualidade de Vida dos Idosos"""
"""Análise da relação entre atividade física e saúde mental em idosos"", ""Saúde Mental dos Idosos"""
"""Desenvolvimento de programas para a inclusão social e econômica de pessoas em situação de pobreza"", ""Inclusão Social e Econômica"""
"""Análise da relação entre educação e mobilidade social em comunidades carentes"", ""Educação e Mobilidade Social"""
"""Promoção da saúde e prevenção de doenças em comunidades em situação de pobreza"", ""Saúde Pública"""
"""Educação financeira para a promoção da inclusão econômica"", ""Educação Financeira"""
"""Promoção da igualdade de gênero e empoderamento das mulheres em situação de pobreza"", ""Igualdade de Gênero"""
"""Garantia de acesso à moradia digna para pessoas em situação de pobreza"", ""Moradia Digna"""
"""Desenvolvimento de tecnologias para a inclusão social e econômica de pessoas em situação de pobreza"", ""Inclusão Social e Econômica"""
"""Inclusão de pessoas em situação de pobreza no mercado de trabalho através do empreendedorismo"", ""Empreendedorismo"""
"""Desenvolvimento de políticas públicas para a promoção da igualdade social"", ""Políticas Públicas"""
"""Redução das desigualdades sociais através de políticas públicas"", ""Políticas Públicas"""
"""Planejamento urbano para cidades mais inclusivas para pessoas em situação de pobreza"", ""Planejamento Urbano"""
"""Conscientização sobre o consumo consciente e economia solidária"", ""Consumo Consciente e Economia Solidária"""
"""Promoção da justiça social e combate à exclusão social"", ""Justiça Social"""
"""Desenvolvimento de parcerias para a promoção da inclusão social e econômica"", ""Parcerias para a Inclusão Social e Econômica"""
"""Análise da relação entre segurança alimentar e desenvolvimento sustentável em comunidades carentes"", ""Segurança Alimentar e Desenvolvimento Sustentável"""
"""Promoção da saúde mental em comunidades em situação de pobreza"", ""Saúde Mental"""
"""Educação empreendedora para jovens em situação de vulnerabilidade"", ""Educação Empreendedora"""
"""Garantia de acesso à água potável e saneamento básico para comunidades carentes"", ""Saneamento Básico"""
"""Desenvolvimento de fontes de energia renovável e acessível para comunidades carentes"", ""Energia Renovável"""
"""Inclusão de idosos em situação de pobreza no mercado de trabalho"", ""Inclusão no Mercado de Trabalho"""
"""Desenvolvimento de tecnologias inovadoras para a indústria sustentável em áreas carentes"", ""Indústria Sustentável"""
"""Redução das desigualdades regionais entre áreas ricas e pobres através de políticas públicas"", ""Desigualdades Regionais"""
"""Planejamento urbano para cidades inteligentes e inclusivas para pessoas em situação de pobreza"", ""Cidades Inteligentes"""
"""Desenvolvimento de programas para a promoção da segurança alimentar"", ""Segurança Alimentar"""
"""Análise da relação entre agricultura sustentável e segurança alimentar"", ""Agricultura Sustentável"""
"""Promoção da saúde e prevenção de doenças relacionadas à má nutrição"", ""Saúde Pública"""
"""Educação alimentar para a promoção da alimentação saudável"", ""Educação Alimentar"""
"""Desenvolvimento de tecnologias para a produção sustentável de alimentos"", ""Produção Sustentável de Alimentos"""
"""Inclusão de pequenos agricultores no mercado através do empreendedorismo"", ""Empreendedorismo"""
"""Desenvolvimento de políticas públicas para a promoção da agricultura familiar"", ""Políticas Públicas"""
"""Redução das desigualdades sociais através do acesso à alimentação saudável"", ""Políticas Públicas"""
"""Planejamento urbano para cidades mais inclusivas para a agricultura urbana"", ""Planejamento Urbano"""
"""Conscientização sobre o consumo consciente e desperdício de alimentos"", ""Consumo Consciente"""
"""Promoção da justiça social e combate à exclusão social através do acesso à alimentação saudável"", ""Justiça Social"""
"""Desenvolvimento de parcerias para a promoção da segurança alimentar"", ""Parcerias para a Segurança Alimentar"""
"""Desenvolvimento de programas para a promoção da saúde e prevenção de doenças"", ""Saúde Pública"""
"""Análise da relação entre atividade física e saúde mental"", ""Saúde Mental"""
"""Promoção da saúde sexual e reprodutiva"", ""Saúde Sexual e Reprodutiva"""
"""Educação em saúde para a promoção da qualidade de vida"", ""Educação em Saúde"""
"""Desenvolvimento de tecnologias para a prevenção e tratamento de doenças crônicas"", ""Prevenção e Tratamento de Doenças Crônicas"""
"""Inclusão de pessoas com deficiência na sociedade através do esporte"", ""Inclusão através do Esporte"""
"""Desenvolvimento de políticas públicas para a promoção da saúde e bem-estar"", ""Políticas Públicas"""
"""Desenvolvimento de programas para a promoção da educação inclusiva"", ""Educação Inclusiva"""
"""Análise da relação entre educação e mobilidade social"", ""Educação e Mobilidade Social"""
"""Promoção da educação em direitos humanos"", ""Educação em Direitos Humanos"""
"""Educação financeira para a promoção da inclusão econômica"", ""Educação Financeira"""
"""Desenvolvimento de tecnologias para a educação a distância"", ""Educação a Distância"""
"""Inclusão de pessoas com deficiência na escola e na sociedade"", ""Inclusão de Pessoas com Deficiência"""
"""Desenvolvimento de políticas públicas para a promoção da educação de qualidade"", ""Políticas Públicas"""
"""Redução das desigualdades educacionais através de políticas públicas"", ""Políticas Públicas"""
"""Planejamento urbano para cidades mais inclusivas para a educação"", ""Planejamento Urbano"""
"""Conscientização sobre a importância da educação para o desenvolvimento sustentável"", ""Educação para o Desenvolvimento Sustentável"""
"""Promoção da justiça social e combate à exclusão social através da educação"", ""Justiça Social"""
"""Desenvolvimento de parcerias para a promoção da educação de qualidade"", ""Parcerias para a Educação de Qualidade"""
"""Educação empreendedora para jovens em situação de vulnerabilidade"", ""Educação Empreendedora"""
"""Educação ambiental para a promoção do desenvolvimento sustentável"", ""Educação Ambiental"""
"""Educação em saúde para a promoção da qualidade de vida"", ""Educação em Saúde"""
"""Educação em direitos humanos para a promoção da igualdade de gênero e diversidade sexual"", ""Educação em Direitos Humanos"""
"""Educação alimentar para a promoção da alimentação saudável"", ""Educação Alimentar"""
"""Educação em cidadania para a promoção da participação social"", ""Educação em Cidadania"""
"""Educação em tecnologia para a inclusão digital"", ""Educação em Tecnologia"""
"""Educação em artes para a promoção da cultura e da criatividade"", ""Educação em Artes"""
"""Combate à corrupção e ao crime organizado"", Direito"
"""Redução da violência urbana"", Segurança Pública"
"""Promoção da igualdade racial e combate ao racismo"", Direitos Humanos"
"""Desenvolvimento de políticas públicas para a redução da pobreza"", Sociologia"
"""Melhoria da qualidade do ensino público"", Educação"
"""Promoção da saúde pública e prevenção de doenças"", Saúde Pública"
"""Desenvolvimento de infraestrutura de transporte sustentável"", Transporte"
"""Preservação da Amazônia e combate ao desmatamento"", Meio Ambiente"
"""Promoção do turismo sustentável"", Turismo"
"""Desenvolvimento de tecnologias para a agricultura familiar"", Agricultura"
"""Fortalecimento da democracia e participação cidadã"", Política"
"""Promoção da cultura e valorização da diversidade"", Cultura"
"""Desenvolvimento de políticas públicas para a juventude"", Juventude"
"""Combate à violência contra a mulher"", Gênero"
"""Promoção do acesso à moradia digna"", Urbanismo"
"""Desenvolvimento de energias renováveis e combate às mudanças climáticas"", Energia"
"""Fortalecimento do sistema público de saúde"", Saúde"
"""Promoção do empreendedorismo e geração de empregos"", Economia"
"""Combate ao trabalho infantil e promoção dos direitos da criança"", Direitos Humanos"
"""Desenvolvimento de políticas públicas para a terceira idade"", Gerontologia"
"""Erradicação da pobreza e redução das desigualdades"", Sociologia"
"""Promoção da saúde e bem-estar para todos"", Saúde Pública"
"""Educação de qualidade para todos"", Educação"
"""Igualdade de gênero e empoderamento das mulheres"", Gênero"
"""Água potável e saneamento para todos"", Saneamento"
"""Energia limpa e acessível para todos"", Energia"
"""Crescimento econômico sustentável e emprego digno para todos"", Economia"
"""Indústria, inovação e infraestrutura sustentável"", Indústria"
"""Redução das desigualdades entre países e regiões"", Geografia"
"""Cidades e comunidades sustentáveis"", Urbanismo"
"""Consumo e produção responsáveis"", Meio Ambiente"
"""Ação contra a mudança global do clima"", Clima"
"""Proteção e uso sustentável dos oceanos e recursos marinhos"", Oceanografia"
"""Proteção e uso sustentável dos ecossistemas terrestres"", Ecologia"
"""Paz, justiça e instituições eficazes"", Direito"
"""Parcerias para o desenvolvimento sustentável"", Relações Internacionais"
"""Erradicação da fome e promoção da agricultura sustentável"", Agricultura"
"""Promoção do crescimento econômico inclusivo e sustentável"", Economia"
"""Fortalecimento da governança global para o desenvolvimento sustentável"", Política"
"""Promoção da igualdade racial e combate ao racismo"", Direitos Humanos"
"""Desenvolvimento de novas tecnologias para energia renovável"", Energia"
"""Estudo do impacto das mudanças climáticas na biodiversidade"", Meio Ambiente"
"""Desenvolvimento de novos medicamentos para doenças tropicais"", Saúde"
"""Análise do impacto socioeconômico da urbanização"", Sociologia"
"""Estudo da influência da dieta na prevenção de doenças crônicas"", Nutrição"
"""Desenvolvimento de novas tecnologias para agricultura sustentável"", Agricultura"
"""Análise do impacto da poluição do ar na saúde pública"", Saúde Pública"
"""Estudo da relação entre educação e desenvolvimento econômico"", Educação"
"""Desenvolvimento de novas tecnologias para transporte sustentável"", Transporte"
"""Análise do impacto da globalização na cultura local"", Antropologia"
"""Promoção da igualdade racial e combate ao racismo na periferia"", Direitos Humanos"
