DATA_NF;NÚM_NF;COD_PRODUTO;COD_VENDEDOR;CANAL_VENDAS;QTDE_ITENS;CUSTO_UNITÁRIO;PREÇO UNITÁRIO
01/01/2020;100034;9012;500011;Internet;290;1,5;3
01/01/2020;100035;9001;500003;Lojas Próprias;276;5,2;9,5
01/01/2020;100036;9010;500001;Internet;221;2,5;3,8
01/01/2020;100037;9015;500001;Lojas Afiliadas;471;1,3;3
01/01/2020;100038;9011;500005;Internet;483;2,2;3,5
01/01/2020;100039;9007;500008;Lojas Próprias;141;3,5;5,5
01/01/2020;100040;9009;500003;Lojas Próprias;456;2,8;4
01/01/2020;100041;9011;500008;Internet;437;2,2;3,5
01/01/2020;100042;9006;500007;Lojas Afiliadas;119;3,7;6
01/01/2020;100043;9009;500010;Lojas Próprias;183;2,8;4
01/01/2020;100044;9008;500007;Lojas Afiliadas;473;3;4,3
01/01/2020;100045;9010;500012;Internet;105;2,5;3,8
01/01/2020;100046;9016;500002;Lojas Próprias;397;1,1;2,5
01/01/2020;100047;9001;500005;Lojas Afiliadas;341;5,2;9,5
01/01/2020;100048;9008;500008;Internet;403;3;4,3
01/01/2020;100049;9012;500001;Lojas Afiliadas;433;1,5;3
01/01/2020;100050;9009;500001;Internet;245;2,8;4
01/01/2020;100051;9012;500006;Lojas Afiliadas;374;1,5;3
01/01/2020;100052;9002;500005;Lojas Próprias;487;4,4;7,5
01/01/2020;100053;9016;500003;Internet;463;1,1;2,5
01/01/2020;100054;9013;500012;Internet;404;1,8;4
01/01/2020;100055;9005;500004;Lojas Afiliadas;455;4;7
01/01/2020;100056;9014;500011;Lojas Próprias;306;1,5;3,5
01/01/2020;100057;9010;500010;Lojas Afiliadas;115;2,5;3,8
01/01/2020;100058;9005;500006;Lojas Próprias;401;4;7
01/01/2020;100059;9011;500002;Lojas Próprias;231;2,2;3,5
01/01/2020;100060;9007;500007;Internet;296;3,5;5,5
01/01/2020;100061;9009;500010;Lojas Próprias;433;2,8;4
01/01/2020;100062;9011;500002;Lojas Afiliadas;116;2,2;3,5
01/01/2020;100063;9002;500011;Internet;331;4,4;7,5
01/01/2020;100064;9014;500009;Lojas Próprias;470;1,5;3,5
01/01/2020;100065;9014;500010;Lojas Afiliadas;398;1,5;3,5
01/01/2020;100066;9003;500012;Internet;413;3,5;7
01/01/2020;100067;9010;500008;Internet;183;2,5;3,8
01/01/2020;100068;9015;500006;Lojas Próprias;433;1,3;3
01/01/2020;100069;9009;500002;Lojas Próprias;269;2,8;4
01/01/2020;100070;9015;500011;Lojas Afiliadas;394;1,3;3
01/01/2020;100071;9009;500002;Lojas Próprias;446;2,8;4
01/01/2020;100072;9015;500005;Lojas Afiliadas;201;1,3;3
01/01/2020;100073;9003;500008;Lojas Afiliadas;222;3,5;7
01/01/2020;100074;9004;500005;Internet;496;2,8;5
01/01/2020;100075;9009;500010;Internet;203;2,8;4
01/01/2020;100076;9013;500006;Internet;457;1,8;4
01/01/2020;100077;9009;500009;Internet;122;2,8;4
01/01/2020;100078;9003;500008;Lojas Afiliadas;322;3,5;7
01/01/2020;100079;9013;500009;Lojas Próprias;173;1,8;4
01/01/2020;100080;9007;500003;Lojas Afiliadas;105;3,5;5,5
01/01/2020;100081;9016;500003;Lojas Afiliadas;399;1,1;2,5
01/01/2020;100082;9004;500008;Lojas Afiliadas;199;2,8;5
01/01/2020;100083;9007;500003;Internet;379;3,5;5,5
01/01/2020;100084;9002;500002;Internet;132;4,4;7,5
01/01/2020;100085;9001;500006;Lojas Próprias;418;5,2;9,5
01/01/2020;100086;9002;500010;Lojas Afiliadas;135;4,4;7,5
01/01/2020;100087;9006;500011;Lojas Próprias;267;3,7;6
01/01/2020;100088;9015;500012;Internet;109;1,3;3
01/01/2020;100089;9010;500010;Lojas Afiliadas;190;2,5;3,8
01/01/2020;100090;9002;500006;Lojas Próprias;364;4,4;7,5
01/01/2020;100091;9002;500004;Internet;219;4,4;7,5
01/01/2020;100092;9016;500012;Internet;439;1,1;2,5
01/01/2020;100093;9014;500010;Lojas Próprias;352;1,5;3,5
01/01/2020;100094;9008;500011;Internet;149;3;4,3
01/01/2020;100095;9010;500006;Lojas Afiliadas;289;2,5;3,8
01/01/2020;100096;9013;500009;Lojas Afiliadas;170;1,8;4
01/01/2020;100097;9001;500009;Internet;126;5,2;9,5
01/01/2020;100098;9009;500004;Lojas Afiliadas;103;2,8;4
01/01/2020;100099;9016;500003;Lojas Afiliadas;351;1,1;2,5
01/01/2020;100100;9012;500011;Lojas Afiliadas;371;1,5;3
01/01/2020;100101;9009;500009;Lojas Próprias;153;2,8;4
01/01/2020;100102;9011;500011;Lojas Próprias;138;2,2;3,5
01/01/2020;100103;9004;500004;Lojas Próprias;164;2,8;5
01/01/2020;100104;9002;500005;Lojas Afiliadas;277;4,4;7,5
01/01/2020;100105;9001;500012;Lojas Próprias;328;5,2;9,5
01/01/2020;100106;9005;500008;Lojas Próprias;391;4;7
01/01/2020;100107;9014;500004;Internet;102;1,5;3,5
01/01/2020;100108;9009;500012;Lojas Próprias;146;2,8;4
01/01/2020;100109;9005;500004;Internet;131;4;7
01/01/2020;100110;9011;500008;Internet;293;2,2;3,5
01/01/2020;100111;9016;500002;Lojas Afiliadas;157;1,1;2,5
01/01/2020;100112;9015;500009;Internet;170;1,3;3
01/01/2020;100113;9010;500007;Lojas Próprias;283;2,5;3,8
01/01/2020;100114;9016;500011;Lojas Afiliadas;183;1,1;2,5
01/01/2020;100115;9009;500008;Lojas Próprias;401;2,8;4
01/01/2020;100116;9014;500005;Lojas Afiliadas;413;1,5;3,5
01/01/2020;100117;9004;500003;Lojas Próprias;138;2,8;5
01/01/2020;100118;9011;500011;Lojas Afiliadas;145;2,2;3,5
01/01/2020;100119;9003;500007;Lojas Afiliadas;367;3,5;7
01/01/2020;100120;9010;500004;Internet;314;2,5;3,8
01/01/2020;100121;9003;500010;Internet;413;3,5;7
01/01/2020;100122;9002;500008;Internet;116;4,4;7,5
01/01/2020;100123;9013;500006;Internet;268;1,8;4
01/01/2020;100124;9004;500005;Lojas Afiliadas;412;2,8;5
01/01/2020;100125;9014;500011;Lojas Próprias;214;1,5;3,5
01/01/2020;100126;9013;500012;Lojas Afiliadas;432;1,8;4
01/01/2020;100127;9002;500010;Lojas Afiliadas;231;4,4;7,5
01/01/2020;100128;9001;500009;Lojas Próprias;310;5,2;9,5
01/01/2020;100129;9012;500005;Lojas Afiliadas;303;1,5;3
01/01/2020;100130;9001;500008;Lojas Próprias;244;5,2;9,5
02/01/2020;100131;9002;500010;Lojas Próprias;19;4,4;7,5
02/01/2020;100132;9011;500001;Internet;17;2,2;3,5
02/01/2020;100133;9011;500001;Lojas Afiliadas;11;2,2;3,5
02/01/2020;100134;9011;500006;Lojas Afiliadas;20;2,2;3,5
02/01/2020;100135;9002;500002;Internet;18;4,4;7,5
02/01/2020;100136;9009;500011;Lojas Afiliadas;11;2,8;4
02/01/2020;100137;9006;500002;Internet;20;3,7;6
02/01/2020;100138;9016;500005;Internet;7;1,1;2,5
02/01/2020;100139;9001;500005;Lojas Próprias;19;5,2;9,5
02/01/2020;100140;9012;500005;Internet;14;1,5;3
02/01/2020;100141;9006;500001;Internet;4;3,7;6
02/01/2020;100142;9015;500002;Lojas Próprias;7;1,3;3
02/01/2020;100143;9003;500003;Internet;5;3,5;7
02/01/2020;100144;9006;500003;Lojas Afiliadas;4;3,7;6
02/01/2020;100145;9013;500010;Internet;11;1,8;4
02/01/2020;100146;9016;500006;Lojas Próprias;20;1,1;2,5
02/01/2020;100147;9007;500005;Internet;13;3,5;5,5
02/01/2020;100148;9014;500011;Lojas Afiliadas;6;1,5;3,5
02/01/2020;100149;9012;500010;Lojas Próprias;8;1,5;3
02/01/2020;100150;9004;500005;Lojas Próprias;2;2,8;5
02/01/2020;100151;9012;500010;Lojas Próprias;1;1,5;3
02/01/2020;100152;9013;500001;Lojas Afiliadas;3;1,8;4
02/01/2020;100153;9007;500005;Internet;7;3,5;5,5
02/01/2020;100154;9010;500011;Lojas Afiliadas;17;2,5;3,8
02/01/2020;100155;9002;500001;Internet;5;4,4;7,5
02/01/2020;100156;9014;500007;Internet;17;1,5;3,5
02/01/2020;100157;9014;500010;Lojas Próprias;388;1,5;3,5
02/01/2020;100158;9015;500002;Internet;423;1,3;3
02/01/2020;100159;9007;500006;Lojas Afiliadas;429;3,5;5,5
02/01/2020;100160;9005;500004;Lojas Próprias;498;4;7
02/01/2020;100161;9010;500011;Lojas Próprias;121;2,5;3,8
02/01/2020;100162;9006;500011;Lojas Afiliadas;293;3,7;6
02/01/2020;100163;9011;500012;Lojas Próprias;290;2,2;3,5
02/01/2020;100164;9007;500007;Internet;262;3,5;5,5
02/01/2020;100165;9005;500011;Lojas Afiliadas;352;4;7
02/01/2020;100166;9006;500008;Lojas Afiliadas;238;3,7;6
02/01/2020;100167;9005;500009;Lojas Próprias;115;4;7
02/01/2020;100168;9009;500001;Lojas Afiliadas;104;2,8;4
02/01/2020;100169;9007;500001;Lojas Próprias;267;3,5;5,5
02/01/2020;100170;9008;500006;Internet;329;3;4,3
02/01/2020;100171;9012;500004;Lojas Próprias;390;1,5;3
02/01/2020;100172;9001;500008;Internet;485;5,2;9,5
02/01/2020;100173;9010;500004;Lojas Afiliadas;475;2,5;3,8
02/01/2020;100174;9004;500009;Lojas Afiliadas;481;2,8;5
02/01/2020;100175;9012;500004;Lojas Próprias;351;1,5;3
02/01/2020;100176;9001;500004;Lojas Afiliadas;120;5,2;9,5
02/01/2020;100177;9006;500010;Lojas Próprias;130;3,7;6
02/01/2020;100178;9009;500007;Internet;151;2,8;4
02/01/2020;100179;9007;500010;Lojas Próprias;300;3,5;5,5
02/01/2020;100180;9012;500008;Lojas Afiliadas;328;1,5;3
02/01/2020;100181;9003;500004;Internet;173;3,5;7
02/01/2020;100182;9007;500010;Internet;428;3,5;5,5
02/01/2020;100183;9002;500009;Lojas Próprias;176;4,4;7,5
02/01/2020;100184;9004;500009;Lojas Afiliadas;123;2,8;5
02/01/2020;100185;9011;500004;Lojas Próprias;211;2,2;3,5
02/01/2020;100186;9011;500012;Lojas Afiliadas;358;2,2;3,5
02/01/2020;100187;9002;500008;Internet;332;4,4;7,5
02/01/2020;100188;9012;500006;Lojas Próprias;420;1,5;3
02/01/2020;100189;9003;500006;Lojas Próprias;116;3,5;7
02/01/2020;100190;9004;500007;Lojas Afiliadas;218;2,8;5
02/01/2020;100191;9012;500001;Internet;474;1,5;3
02/01/2020;100192;9016;500009;Lojas Próprias;382;1,1;2,5
02/01/2020;100193;9015;500003;Internet;397;1,3;3
02/01/2020;100194;9006;500012;Lojas Afiliadas;423;3,7;6
02/01/2020;100195;9004;500005;Lojas Afiliadas;238;2,8;5
02/01/2020;100196;9009;500010;Lojas Afiliadas;113;2,8;4
02/01/2020;100197;9016;500002;Lojas Afiliadas;379;1,1;2,5
02/01/2020;100198;9012;500001;Lojas Afiliadas;268;1,5;3
02/01/2020;100199;9007;500009;Internet;124;3,5;5,5
02/01/2020;100200;9008;500004;Lojas Afiliadas;258;3;4,3
02/01/2020;100201;9010;500011;Lojas Próprias;407;2,5;3,8
02/01/2020;100202;9010;500003;Internet;179;2,5;3,8
02/01/2020;100203;9003;500002;Lojas Afiliadas;281;3,5;7
02/01/2020;100204;9007;500011;Internet;227;3,5;5,5
02/01/2020;100205;9006;500003;Lojas Próprias;354;3,7;6
02/01/2020;100206;9005;500011;Lojas Próprias;262;4;7
02/01/2020;100207;9010;500008;Lojas Próprias;157;2,5;3,8
02/01/2020;100208;9015;500007;Internet;446;1,3;3
02/01/2020;100209;9009;500004;Lojas Próprias;339;2,8;4
02/01/2020;100210;9014;500008;Lojas Próprias;332;1,5;3,5
02/01/2020;100211;9016;500012;Lojas Próprias;112;1,1;2,5
02/01/2020;100212;9004;500001;Lojas Próprias;400;2,8;5
02/01/2020;100213;9010;500011;Lojas Afiliadas;157;2,5;3,8
02/01/2020;100214;9009;500011;Lojas Próprias;245;2,8;4
02/01/2020;100215;9006;500012;Lojas Afiliadas;184;3,7;6
02/01/2020;100216;9016;500005;Internet;388;1,1;2,5
02/01/2020;100217;9009;500006;Internet;231;2,8;4
02/01/2020;100218;9012;500001;Lojas Próprias;336;1,5;3
02/01/2020;100219;9012;500012;Lojas Próprias;234;1,5;3
02/01/2020;100220;9009;500007;Lojas Próprias;192;2,8;4
02/01/2020;100221;9014;500008;Lojas Próprias;471;1,5;3,5
02/01/2020;100222;9010;500011;Lojas Próprias;472;2,5;3,8
02/01/2020;100223;9015;500005;Lojas Afiliadas;109;1,3;3
02/01/2020;100224;9013;500002;Lojas Afiliadas;411;1,8;4
02/01/2020;100225;9012;500001;Lojas Afiliadas;342;1,5;3
02/01/2020;100226;9008;500006;Lojas Afiliadas;315;3;4,3
02/01/2020;100227;9014;500011;Internet;269;1,5;3,5
02/01/2020;100228;9007;500010;Lojas Próprias;294;3,5;5,5
02/01/2020;100229;9006;500001;Lojas Afiliadas;391;3,7;6
02/01/2020;100230;9008;500009;Lojas Afiliadas;476;3;4,3
02/01/2020;100231;9012;500010;Lojas Afiliadas;218;1,5;3
02/01/2020;100232;9003;500007;Internet;425;3,5;7
02/01/2020;100233;9004;500008;Lojas Próprias;272;2,8;5
02/01/2020;100234;9002;500005;Lojas Próprias;125;4,4;7,5
02/01/2020;100235;9006;500010;Lojas Próprias;279;3,7;6
02/01/2020;100236;9007;500006;Lojas Afiliadas;139;3,5;5,5
02/01/2020;100237;9002;500005;Internet;185;4,4;7,5
02/01/2020;100238;9013;500003;Lojas Próprias;136;1,8;4
02/01/2020;100239;9009;500001;Lojas Afiliadas;318;2,8;4
02/01/2020;100240;9014;500001;Lojas Próprias;434;1,5;3,5
02/01/2020;100241;9007;500011;Internet;420;3,5;5,5
02/01/2020;100242;9001;500009;Lojas Afiliadas;306;5,2;9,5
02/01/2020;100243;9016;500012;Lojas Próprias;173;1,1;2,5
02/01/2020;100244;9010;500010;Internet;308;2,5;3,8
02/01/2020;100245;9009;500005;Lojas Afiliadas;370;2,8;4
02/01/2020;100246;9012;500006;Internet;349;1,5;3
02/01/2020;100247;9015;500003;Lojas Próprias;244;1,3;3
02/01/2020;100248;9001;500010;Lojas Afiliadas;349;5,2;9,5
02/01/2020;100249;9003;500011;Lojas Afiliadas;458;3,5;7
02/01/2020;100250;9003;500003;Lojas Próprias;288;3,5;7
02/01/2020;100251;9011;500012;Lojas Próprias;427;2,2;3,5
02/01/2020;100252;9013;500008;Lojas Afiliadas;329;1,8;4
02/01/2020;100253;9010;500008;Lojas Próprias;228;2,5;3,8
02/01/2020;100254;9002;500010;Internet;493;4,4;7,5
02/01/2020;100255;9001;500006;Internet;318;5,2;9,5
02/01/2020;100256;9009;500002;Lojas Próprias;333;2,8;4
02/01/2020;100257;9009;500003;Lojas Próprias;247;2,8;4
02/01/2020;100258;9010;500011;Internet;110;2,5;3,8
02/01/2020;100259;9004;500004;Lojas Próprias;489;2,8;5
02/01/2020;100260;9001;500003;Lojas Afiliadas;344;5,2;9,5
02/01/2020;100261;9014;500004;Lojas Próprias;493;1,5;3,5
03/01/2020;100262;9009;500010;Lojas Afiliadas;433;2,8;4
03/01/2020;100263;9002;500009;Internet;316;4,4;7,5
03/01/2020;100264;9012;500003;Internet;10;1,5;3
03/01/2020;100265;9005;500009;Lojas Afiliadas;4;4;7
03/01/2020;100266;9014;500008;Lojas Próprias;15;1,5;3,5
03/01/2020;100267;9001;500012;Internet;7;5,2;9,5
03/01/2020;100268;9013;500002;Internet;5;1,8;4
03/01/2020;100269;9001;500010;Lojas Afiliadas;7;5,2;9,5
03/01/2020;100270;9001;500006;Lojas Próprias;7;5,2;9,5
03/01/2020;100271;9012;500005;Lojas Próprias;19;1,5;3
03/01/2020;100272;9002;500005;Lojas Próprias;8;4,4;7,5
03/01/2020;100273;9011;500003;Internet;3;2,2;3,5
03/01/2020;100274;9015;500007;Internet;4;1,3;3
03/01/2020;100275;9005;500002;Lojas Próprias;5;4;7
03/01/2020;100276;9002;500007;Internet;9;4,4;7,5
03/01/2020;100277;9003;500003;Lojas Afiliadas;18;3,5;7
03/01/2020;100278;9012;500009;Lojas Próprias;18;1,5;3
03/01/2020;100279;9011;500002;Lojas Afiliadas;3;2,2;3,5
03/01/2020;100280;9003;500012;Lojas Próprias;13;3,5;7
03/01/2020;100281;9005;500006;Lojas Afiliadas;1;4;7
03/01/2020;100282;9015;500006;Lojas Próprias;17;1,3;3
03/01/2020;100283;9016;500003;Internet;5;1,1;2,5
03/01/2020;100284;9010;500001;Internet;16;2,5;3,8
03/01/2020;100285;9001;500005;Lojas Próprias;17;5,2;9,5
03/01/2020;100286;9016;500006;Lojas Próprias;3;1,1;2,5
03/01/2020;100287;9009;500002;Lojas Afiliadas;18;2,8;4
03/01/2020;100288;9015;500008;Lojas Próprias;10;1,3;3
03/01/2020;100289;9005;500003;Lojas Afiliadas;377;4;7
03/01/2020;100290;9014;500006;Lojas Próprias;107;1,5;3,5
03/01/2020;100291;9012;500007;Lojas Afiliadas;397;1,5;3
03/01/2020;100292;9006;500002;Lojas Próprias;109;3,7;6
03/01/2020;100293;9009;500006;Internet;348;2,8;4
03/01/2020;100294;9003;500008;Internet;262;3,5;7
03/01/2020;100295;9007;500005;Lojas Próprias;280;3,5;5,5
03/01/2020;100296;9015;500006;Lojas Afiliadas;265;1,3;3
03/01/2020;100297;9015;500010;Lojas Próprias;142;1,3;3
03/01/2020;100298;9015;500004;Lojas Afiliadas;333;1,3;3
03/01/2020;100299;9008;500008;Lojas Afiliadas;126;3;4,3
03/01/2020;100300;9007;500007;Lojas Afiliadas;384;3,5;5,5
03/01/2020;100301;9011;500008;Internet;432;2,2;3,5
03/01/2020;100302;9015;500003;Internet;104;1,3;3
03/01/2020;100303;9013;500012;Lojas Afiliadas;414;1,8;4
03/01/2020;100304;9010;500006;Internet;106;2,5;3,8
03/01/2020;100305;9003;500001;Lojas Afiliadas;362;3,5;7
03/01/2020;100306;9008;500008;Lojas Próprias;240;3;4,3
03/01/2020;100307;9013;500004;Lojas Próprias;363;1,8;4
03/01/2020;100308;9014;500011;Lojas Afiliadas;498;1,5;3,5
03/01/2020;100309;9006;500007;Lojas Próprias;391;3,7;6
03/01/2020;100310;9012;500006;Lojas Próprias;309;1,5;3
03/01/2020;100311;9002;500005;Lojas Afiliadas;401;4,4;7,5
03/01/2020;100312;9008;500003;Lojas Próprias;480;3;4,3
03/01/2020;100313;9016;500003;Internet;297;1,1;2,5
03/01/2020;100314;9003;500001;Internet;445;3,5;7
03/01/2020;100315;9016;500011;Internet;235;1,1;2,5
03/01/2020;100316;9007;500001;Lojas Afiliadas;113;3,5;5,5
03/01/2020;100317;9009;500002;Lojas Afiliadas;433;2,8;4
03/01/2020;100318;9003;500008;Lojas Afiliadas;181;3,5;7
03/01/2020;100319;9005;500012;Internet;233;4;7
03/01/2020;100320;9003;500008;Lojas Afiliadas;262;3,5;7
03/01/2020;100321;9009;500011;Lojas Afiliadas;123;2,8;4
03/01/2020;100322;9010;500010;Internet;372;2,5;3,8
03/01/2020;100323;9010;500007;Lojas Afiliadas;276;2,5;3,8
03/01/2020;100324;9006;500005;Lojas Próprias;193;3,7;6
03/01/2020;100325;9016;500011;Lojas Próprias;435;1,1;2,5
03/01/2020;100326;9006;500003;Lojas Afiliadas;220;3,7;6
03/01/2020;100327;9006;500002;Internet;172;3,7;6
03/01/2020;100328;9001;500006;Internet;207;5,2;9,5
03/01/2020;100329;9007;500010;Internet;204;3,5;5,5
03/01/2020;100330;9008;500010;Internet;464;3;4,3
03/01/2020;100331;9002;500001;Internet;166;4,4;7,5
03/01/2020;100332;9002;500006;Lojas Próprias;113;4,4;7,5
03/01/2020;100333;9003;500009;Lojas Afiliadas;107;3,5;7
03/01/2020;100334;9005;500011;Lojas Afiliadas;321;4;7
03/01/2020;100335;9016;500001;Lojas Próprias;179;1,1;2,5
03/01/2020;100336;9006;500006;Lojas Afiliadas;153;3,7;6
03/01/2020;100337;9016;500012;Internet;457;1,1;2,5
03/01/2020;100338;9001;500003;Lojas Próprias;215;5,2;9,5
03/01/2020;100339;9001;500003;Lojas Próprias;384;5,2;9,5
03/01/2020;100340;9004;500011;Lojas Próprias;248;2,8;5
03/01/2020;100341;9007;500004;Lojas Próprias;384;3,5;5,5
03/01/2020;100342;9007;500001;Lojas Afiliadas;365;3,5;5,5
03/01/2020;100343;9006;500005;Lojas Afiliadas;335;3,7;6
03/01/2020;100344;9009;500009;Lojas Próprias;292;2,8;4
03/01/2020;100345;9003;500003;Internet;404;3,5;7
03/01/2020;100346;9015;500001;Internet;457;1,3;3
03/01/2020;100347;9003;500010;Internet;168;3,5;7
03/01/2020;100348;9016;500002;Internet;182;1,1;2,5
03/01/2020;100349;9007;500012;Internet;278;3,5;5,5
03/01/2020;100350;9014;500002;Internet;253;1,5;3,5
03/01/2020;100351;9015;500001;Lojas Afiliadas;278;1,3;3
03/01/2020;100352;9015;500010;Lojas Próprias;479;1,3;3
03/01/2020;100353;9010;500012;Internet;260;2,5;3,8
03/01/2020;100354;9013;500012;Lojas Próprias;408;1,8;4
03/01/2020;100355;9016;500007;Lojas Próprias;254;1,1;2,5
03/01/2020;100356;9007;500005;Internet;350;3,5;5,5
03/01/2020;100357;9007;500012;Lojas Próprias;348;3,5;5,5
03/01/2020;100358;9008;500006;Lojas Próprias;301;3;4,3
03/01/2020;100359;9010;500006;Lojas Próprias;402;2,5;3,8
03/01/2020;100360;9005;500009;Lojas Próprias;248;4;7
03/01/2020;100361;9003;500011;Lojas Afiliadas;209;3,5;7
03/01/2020;100362;9016;500001;Lojas Próprias;184;1,1;2,5
03/01/2020;100363;9007;500004;Lojas Afiliadas;424;3,5;5,5
03/01/2020;100364;9008;500009;Internet;185;3;4,3
03/01/2020;100365;9009;500011;Lojas Próprias;499;2,8;4
03/01/2020;100366;9005;500007;Internet;306;4;7
03/01/2020;100367;9002;500010;Lojas Próprias;202;4,4;7,5
03/01/2020;100368;9010;500001;Internet;455;2,5;3,8
03/01/2020;100369;9006;500009;Lojas Afiliadas;209;3,7;6
03/01/2020;100370;9008;500004;Lojas Afiliadas;351;3;4,3
03/01/2020;100371;9012;500004;Internet;443;1,5;3
03/01/2020;100372;9009;500004;Internet;238;2,8;4
03/01/2020;100373;9007;500002;Internet;341;3,5;5,5
03/01/2020;100374;9003;500008;Lojas Afiliadas;114;3,5;7
03/01/2020;100375;9016;500001;Lojas Próprias;231;1,1;2,5
03/01/2020;100376;9011;500005;Lojas Próprias;288;2,2;3,5
03/01/2020;100377;9002;500012;Lojas Próprias;175;4,4;7,5
03/01/2020;100378;9009;500008;Lojas Próprias;252;2,8;4
03/01/2020;100379;9004;500001;Lojas Próprias;354;2,8;5
03/01/2020;100380;9005;500010;Lojas Próprias;181;4;7
03/01/2020;100381;9004;500007;Internet;409;2,8;5
03/01/2020;100382;9011;500012;Lojas Afiliadas;182;2,2;3,5
03/01/2020;100383;9003;500003;Lojas Afiliadas;288;3,5;7
03/01/2020;100384;9009;500012;Internet;193;2,8;4
03/01/2020;100385;9003;500005;Lojas Afiliadas;408;3,5;7
03/01/2020;100386;9016;500008;Lojas Próprias;338;1,1;2,5
03/01/2020;100387;9015;500006;Internet;186;1,3;3
03/01/2020;100388;9012;500003;Lojas Próprias;269;1,5;3
03/01/2020;100389;9016;500002;Lojas Afiliadas;422;1,1;2,5
03/01/2020;100390;9010;500006;Lojas Próprias;337;2,5;3,8
03/01/2020;100391;9003;500007;Lojas Afiliadas;111;3,5;7
03/01/2020;100392;9014;500006;Lojas Próprias;484;1,5;3,5
03/01/2020;100393;9011;500002;Lojas Afiliadas;455;2,2;3,5
03/01/2020;100394;9005;500008;Lojas Afiliadas;120;4;7
03/01/2020;100395;9015;500011;Lojas Afiliadas;181;1,3;3
03/01/2020;100396;9010;500002;Internet;440;2,5;3,8
03/01/2020;100397;9007;500009;Lojas Afiliadas;363;3,5;5,5
03/01/2020;100398;9015;500001;Lojas Próprias;387;1,3;3
04/01/2020;100399;9011;500004;Internet;274;2,2;3,5
04/01/2020;100400;9009;500012;Lojas Afiliadas;202;2,8;4
04/01/2020;100401;9007;500001;Lojas Próprias;4;3,5;5,5
04/01/2020;100402;9014;500006;Internet;3;1,5;3,5
04/01/2020;100403;9003;500007;Lojas Afiliadas;8;3,5;7
04/01/2020;100404;9009;500006;Lojas Afiliadas;2;2,8;4
04/01/2020;100405;9009;500010;Lojas Afiliadas;8;2,8;4
04/01/2020;100406;9015;500004;Lojas Afiliadas;13;1,3;3
04/01/2020;100407;9011;500003;Lojas Afiliadas;2;2,2;3,5
04/01/2020;100408;9013;500004;Lojas Afiliadas;3;1,8;4
04/01/2020;100409;9006;500006;Lojas Afiliadas;13;3,7;6
04/01/2020;100410;9015;500007;Internet;8;1,3;3
04/01/2020;100411;9016;500008;Lojas Afiliadas;12;1,1;2,5
04/01/2020;100412;9016;500006;Lojas Afiliadas;14;1,1;2,5
04/01/2020;100413;9004;500010;Lojas Próprias;10;2,8;5
04/01/2020;100414;9005;500002;Lojas Próprias;18;4;7
04/01/2020;100415;9012;500010;Lojas Afiliadas;1;1,5;3
04/01/2020;100416;9014;500011;Lojas Próprias;18;1,5;3,5
04/01/2020;100417;9013;500003;Lojas Afiliadas;9;1,8;4
04/01/2020;100418;9008;500005;Lojas Próprias;1;3;4,3
04/01/2020;100419;9006;500008;Lojas Afiliadas;9;3,7;6
